rain,radarX,radarY,date,text,latlon,tiffile,labels
4000.0,345.0,398.0,20131013,"HV 3 WATEROVERLAST (+Inc,net: reg.inmeld+) The African Blackstar , Rozengracht 1 AMSTERDAM Cafe/Bar/Rest/Ho... http://t.co/3Ewo7oA9qO #p2000","(52.3737492, 4.8820693)",ahn2_5_25gn1.tif,1
5799.0,345.0,428.0,20131013,Kleine overstroming in de straat!! http://t.co/ouVLFNsjkk,"(52.11749915, 4.83607896)",ahn2_5_31dn2.tif,1
4220.0,346.0,398.0,20131013,"HV 2 WATEROVERLAST , Johannes vd Steurstraat 21 AMSTERDAM [ ASP ] http://t.co/G2d7CoR4pO #p2000","(52.3738007, 4.8909347)",ahn2_5_25gn1.tif,1
4220.0,346.0,398.0,20131013,"HV 3 WATEROVERLAST (+Inc,net: reg.inmeld+) Bijenkorf , Dam 1 AMSTERDAM Warenhuis [ ASN ] http://t.co/foxM3FCYHR #p2000","(52.3738007, 4.8909347)",ahn2_5_25gn1.tif,1
4508.0,347.0,400.0,20131013,"HV 1 WATEROVERLAST (+Inc,net: reg.inmeld+) , Tweede Jan Steenstraat 26 AMSTERDAM [ ASW ] http://t.co/L1XTcFzgvk #p2000","(52.3560683, 4.9001684)",ahn2_5_25gn1.tif,1
4751.0,348.0,400.0,20131013,Overal in Nederland heeft men last van wateroverlast. Ik woon op de 10de etage en hou dus vandaag m'n voetjes droog 😁,"(52.34998259, 4.91841894)",ahn2_5_25gn1.tif,1
4708.0,350.0,476.0,20131013,PRIO 2 3796 3039 BUITENVEST 37 GEERTRUIDENBERG Wateroverlast (INC: 01) #p2000 #watiserloos,"(51.6989486, 4.8482059)",ahn2_5_44dn2.tif,1
5515.0,353.0,423.0,20131013,Wat een water. Meerdere straten blank #kockengen #wateroverlast  #waarismijnduikbril,"(52.1486734, 4.9534516)",ahn2_5_31gn2.tif,1
5918.0,359.0,402.0,20131013,Veel wateroverlast in de provincie #muiden http://t.co/jisSCHlWou,"(52.33, 5.06944)",ahn2_5_25hn1.tif,1
6199.0,363.0,428.0,20131013,"Wateroverlast, noodweer, kans op extreem weer.... Ik ga maar even een stukje fietsen denk ik.","(52.10178838, 5.09423021)",ahn2_5_31hn1.tif,1
5580.0,365.0,414.0,20131013,Opschaling | #NederhorstDenBerg | Pr 3 Wateroverlast (GRIP: 2) VREELANDSEWEG  NEDERHORST DEN BERG 9093 1091  | http://t.co/pytmq0yuG1 #p2000,"(52.2207826, 5.1374307)",ahn2_5_31fn2.tif,1
